"Born 1951 Director father. Was a succesful model before returning to film. Won Supporting Actress Oscar in Prizzi's Honor", "Anjelica Huston"
"Born Dec 21, 1937, She starred in the movie Cat Ballou - 1965", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Comes a Horseman - 1978", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Coming Home - 1978", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Fun With Dick and Jane - 1977", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Histoires Extraordinaires/Spirits of the Dead - 1968", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Hurry, Sundown - 1967", "jane fonda"
"Born Dec 21, 1937, She starred in the movie In the Cool of the Day - 1963", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Joy House - 1964", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Julia - 1977", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Klute - 1971", "jane fonda"
"Born Dec 21, 1937, She starred in the movie La Curee/The Game Is Over - 1966", "jane fonda"
"Born Dec 21, 1937, She starred in the movie La Ronde/Circle of Love - 1964", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Les Felins/Joy House/The Love Cage - 1964", "jane fonda"
"Born Dec 21, 1937, She starred in the movie No Nukes - 1980", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Old Gringo - 1988", "jane fonda"
"Born Dec 21, 1937, She starred in the movie On Golden Pond - 1981", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Period of Adjustment - 1962", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Rollover - 1981", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Stanley and Iris - 1990", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Steelyard Blues - 1973", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Sunday in New York - 1964", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Tall Story - 1960", "jane fonda"
"Born Dec 21, 1937, She starred in the movie The Blue Bird - 1976", "jane fonda"
"Born Dec 21, 1937, She starred in the movie The Chase - 1966", "jane fonda"
"Born Dec 21, 1937, She starred in the movie The China Syndrome - 1979", "jane fonda"
"Born Dec 21, 1937, She starred in the movie The Dollmaker - 1984", "jane fonda"
"Born Dec 21, 1937, She starred in the movie The Electric Horseman - 1979", "jane fonda"
"Born Dec 21, 1937, She starred in the movie The Game Is Over - 1966", "jane fonda"
"Born Dec 21, 1937, She starred in the movie The Morning After - 1986", "jane fonda"
"Born Dec 21, 1937, She starred in the movie They Shoot Horses, Don't They? - 1969", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Tout va bien - 1972", "jane fonda"
"Born Dec 21, 1937, She starred in the movie Walk on the Wild Side - 1962", "jane fonda"
"Born Dec 25, 1899, he starred in the movie A Devil With Women - 1930", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie A Holy Terror - 1931", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Across the Pacific - 1942", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Action in the North Atlantic - 1943", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie All Through the Night - 1942", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Always Together - 1948", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Angels With Dirty Faces - 1938", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Bad Sister - 1931", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Battle Circus - 1953", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Beat the Devil - 1954", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Big City Blues - 1932", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Black Legion - 1936", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Body and Soul - 1931", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Broadway's Like That - 1930", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Brother Orchid - 1940", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Bullets or Ballots - 1936", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Call It Murder - 1934", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Casablanca - 1942", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Chain Lightning - 1950", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie China Clipper - 1936", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Conflict - 1945", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Crime School - 1938", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Dark Passage - 1947", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Dark Victory - 1939", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Dead End - 1937", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Dead Reckoning - 1947", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Deadline, U.S.A. - 1952", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie High Sierra - 1941", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie In a Lonely Place - 1950", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie In This Our Life - 1942", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Invisible Stripes - 1940", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Isle of Fury - 1936", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie It All Came True - 1940", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Key Largo - 1948", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Kid Galahad - 1937", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie King of the Underworld - 1939", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Knock on Any Door - 1949", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Love Affair - 1932", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Marked Woman - 1937", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Men Are Such Fools - 1938", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Midnight - 1934", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Passage to Marseille - 1944", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Racket Busters - 1938", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Road to Bali - 1952", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Sabrina - 1954", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Sahara - 1943", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie San Quentin - 1937", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Sirocco - 1952", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Stand-In - 1937", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Swing Your Lady - 1938", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Thank Your Lucky Stars - 1943", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The African Queen - 1951", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Amazing Doctor Clitterhouse - 1938", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Barefoot Contessa - 1954", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Big Shot - 1942", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Big Sleep - 1946", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Caine Mutiny - 1954", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Dancing Town - 1928", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Desperate Hours - 1955", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Enforcer - 1951", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Great O'Malley - 1937", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Harder They Fall - 1956", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Left Hand of God - 1955", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Love Lottery - 1954", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Maltese Falcon - 1941", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Oklahoma Kid - 1939", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Petrified Forest - 1936", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Return of Doctor X - 1939", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Roaring Twenties - 1939", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Treasure of the Sierra Madre - 1948", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Two Mrs. Carrolls - 1947", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie The Wagons Roll at Night - 1941", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie They Drive by Night - 1940", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Three on a Match - 1932", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie To Have and Have Not - 1944", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Tokyo Joe - 1949", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Two Against the World - 1936", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Two Guys From Milwaukee - 1946", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Up the River - 1930", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Virginia City - 1940", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie We're No Angels - 1955", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie Women of All Nations - 1931", "humphrey bogart"
"Born Dec 25, 1899, he starred in the movie You Can't Get Away With Murder - 1939", "humphrey bogart"
"Born Dec 28, 1954, he starred in the movie A Century of Cinema - 1994", "denzel washington"
"Born Dec 28, 1954, he starred in the movie A Soldier's Story - 1984", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Carbon Copy - 1981", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Courage Under Fire - 1996", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Crimson Tide - 1995", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Cry Freedom - 1987", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Devil in a Blue Dress - 1995", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Fallen - 1998", "denzel washington"
"Born Dec 28, 1954, he starred in the movie For Queen and Country - 1989", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Glory - 1989", "denzel washington"
"Born Dec 28, 1954, he starred in the movie He Got Game - 1998", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Heart Condition - 1990", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Malcolm X - 1992", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Mississippi Masala - 1992", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Mo' Better Blues - 1990", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Much Ado About Nothing - 1993", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Philadelphia - 1993", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Power - 1986", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Reunion - 1988", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Ricochet - 1991", "denzel washington"
"Born Dec 28, 1954, he starred in the movie The Bone Collector - 1999", "denzel washington"
"Born Dec 28, 1954, he starred in the movie The George McKenna Story - 1986", "denzel washington"
"Born Dec 28, 1954, he starred in the movie The Hurricane - 1999", "denzel washington"
"Born Dec 28, 1954, he starred in the movie The Mighty Quinn - 1989", "denzel washington"
"Born Dec 28, 1954, he starred in the movie The Pelican Brief - 1993", "denzel washington"
"Born Dec 28, 1954, he starred in the movie The Preacher's Wife - 1996", "denzel washington"
"Born Dec 28, 1954, he starred in the movie The Siege - 1998", "denzel washington"
"Born Dec 28, 1954, he starred in the movie Virtuosity - 1995", "denzel washington"
"Born Dec 31, 1937, he starred in the movie 84 Charing Cross Road - 1987", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie A Bridge Too Far - 1977", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie A Century of Cinema - 1994", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie A Change of Seasons - 1980", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie A Chorus of Disapproval - 1988", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie A Doll's House - 1973", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie A Married Man - 1984", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie All Creatures Great and Small - 1974", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Amistad - 1997", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Arch of Triumph - 1985", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Audrey Rose - 1977", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Bram Stoker's Dracula - 1992", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Chaplin - 1992", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Dark Victory - 1976", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Desperate Hours - 1990", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Freejack - 1992", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Hamlet - 1969", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Howards End - 1992", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Instinct - 1999", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie International Velvet - 1978", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Juggernaut - 1974", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Legends of the Fall - 1994", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Magic - 1978", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Meet Joe Black - 1998", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Mission Impossible 2 - 2000", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Mussolini & I - 1985", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Nixon - 1995", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie One Man's War - 1991", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Shadowlands - 1993", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Surviving Picasso - 1996", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Bounty - 1984", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Bunker - 1981", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Dawning - 1988", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Edge - 1997", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Efficiency Expert - 1992", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Elephant Man - 1980", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Girl From Petrovka - 1974", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Good Father - 1986", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Hunchback of Notre Dame - 1982", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Innocent - 1993", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Lindbergh Kidnapping Case - 1976", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Lion in Winter - 1968", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Looking Glass War - 1970", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Mask of Zorro - 1998", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Remains of the Day - 1993", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Road to Wellville - 1994", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Silence of the Lambs - 1991", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Tenth Man - 1988", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The Trial - 1992", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie The White Bus - 1967", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Titus - 1999", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Victory at Entebbe - 1976", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie When Eight Bells Toll - 1971", "anthony hopkins"
"Born Dec 31, 1937, he starred in the movie Young Winston - 1972", "anthony hopkins"
"Born Dec 4, 1949, he starred in the movie Against All Odds - 1984", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie American Heart - 1993", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Arlington Road - 1999", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Bad Company - 1972", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Blown Away - 1994", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Cold Feet - 1989", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Cutter's Way/Cutter and Bone - 1981", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Eight Million Ways To Die - 1987", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Fat City - 1972", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Fearless - 1993", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Halls of Anger - 1970", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Hearts of the West/Hollywood Cowboy - 1975", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Heaven's Gate - 1980", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie In Search of America - 1971", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Jagged Edge - 1985", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie King Kong - 1976", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Kiss Me Goodbye - 1982", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Lolly-Madonna XXX - 1973", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Nadine - 1987", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Rancho Deluxe - 1975", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie See You in the Morning - 1989", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Simpatico - 1999", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Somebody Killed Her Husband - 1978", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Starman - 1984", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Stay Hungry - 1976", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Success/American Success/The American Success Company - 1980", "jeff Bridges"
"Born Dec 4, 1949, he starred in the movie Texasville - 1990", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Big Lebowski - 1998", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Company She Keeps - 1951", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Fabulous Baker Boys - 1989", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Fisher King - 1991", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Iceman Cometh - 1973", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Last American Hero/Hard Driver - 1973", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Last Picture Show - 1971", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Mirror Has Two Faces - 1996", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Morning After - 1986", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Muse - 1999", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Vanishing - 1993", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie The Yin and Yang of Mr. Go - 1970", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Thunderbolt and Lightfoot - 1974", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Tron - 1982", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie White Squall - 1996", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Wild Bill - 1995", "jeff bridges"
"Born Dec 4, 1949, he starred in the movie Winter Kills - 1979", "jeff bridges"
"Born Feb 18, 1954, he starred in the movie A Civil Action - 1998", "john travolta"
"Born Feb 18, 1954, he starred in the movie Battlefield Earth - 2000", "john travolta"
"Born Feb 18, 1954, he starred in the movie Blow Out - 1981", "john travolta"
"Born Feb 18, 1954, he starred in the movie Broken Arrow - 1996", "john travolta"
"Born Feb 18, 1954, he starred in the movie Carrie - 1976", "john travolta"
"Born Feb 18, 1954, he starred in the movie Face/Off - 1997", "john travolta"
"Born Feb 18, 1954, he starred in the movie Get Shorty - 1995", "john travolta"
"Born Feb 18, 1954, he starred in the movie Grease - 1978", "john travolta"
"Born Feb 18, 1954, he starred in the movie Look Who's Talking - 1989", "john travolta"
"Born Feb 18, 1954, he starred in the movie Look Who's Talking Now - 1993", "john travolta"
"Born Feb 18, 1954, he starred in the movie Look Who's Talking Too - 1990", "john travolta"
"Born Feb 18, 1954, he starred in the movie Mad City - 1997", "john travolta"
"Born Feb 18, 1954, he starred in the movie Michael - 1996", "john travolta"
"Born Feb 18, 1954, he starred in the movie Moment by Moment - 1978", "john travolta"
"Born Feb 18, 1954, he starred in the movie Perfect - 1985", "john travolta"
"Born Feb 18, 1954, he starred in the movie Phenomenon - 1996", "john travolta"
"Born Feb 18, 1954, he starred in the movie Primary Colors - 1998", "john travolta"
"Born Feb 18, 1954, he starred in the movie Pulp Fiction - 1994", "john travolta"
"Born Feb 18, 1954, he starred in the movie Saturday Night Fever - 1977", "john travolta"
"Born Feb 18, 1954, he starred in the movie She's So Lovely - 1997", "john travolta"
"Born Feb 18, 1954, he starred in the movie Shout - 1991", "john travolta"
"Born Feb 18, 1954, he starred in the movie Staying Alive - 1983", "john travolta"
"Born Feb 18, 1954, he starred in the movie The Boy in the Plastic Bubble - 1976", "john travolta"
"Born Feb 18, 1954, he starred in the movie The Devil's Rain - 1975", "john travolta"
"Born Feb 18, 1954, he starred in the movie The Experts - 1989", "john travolta"
"Born Feb 18, 1954, he starred in the movie The General's Daughter - 1999", "john travolta"
"Born Feb 18, 1954, he starred in the movie The Thin Red Line - 1998", "john travolta"
"Born Feb 18, 1954, he starred in the movie Two of a Kind - 1983", "john travolta"
"Born Feb 18, 1954, he starred in the movie Urban Cowboy - 1980", "john travolta"
"Born Feb 18, 1954, he starred in the movie White Man's Burden - 1995", "john travolta"
"Born Feb 22, 1975, She starred in the movie Altered States - 1980", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Babes in Toyland - 1986", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Bad Girls - 1994", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Batman Forever - 1995", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Boys on the Side - 1995", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Cat's Eye - 1985", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Conspiracy of Love - 1987", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Everyone Says I Love You - 1996", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Far From Home - 1988", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Firestarter - 1984", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Home Fries - 1998", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Inside the Goldmine - 1994", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Irreconcilable Differences - 1984", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Mad Love - 1995", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Motorama - 1992", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Never Been Kissed - 1999", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie No Place To Hide - 1993", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Poison Ivy - 1992", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Scream - 1996", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie See You in the Morning - 1989", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie The Wedding Singer - 1998", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Titan A.E. - 2000", "drew barrymore"
"Born Feb 22, 1975, She starred in the movie Wayne's World 2 - 1993", "drew barrymore"
"Born Feb 27, 1932, She starred in the movie A Date With Judy - 1948", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie A Place in the Sun - 1951", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Ash Wednesday - 1973", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Beau Brummell - 1954", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Between Friends - 1983", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Boom! - 1968", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Butterfield 8 - 1960", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Callaway Went Thataway - 1951", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Cat on a Hot Tin Roof - 1958", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Cleopatra - 1963", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Conspirator - 1949", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Courage of Lassie - 1945", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Cynthia - 1947", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Divorce His____Divorce Hers - 1973", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Doctor Faustus - 1967", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Elephant Walk - 1954", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Father of the Bride - 1950", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Father's Little Dividend - 1951", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Giant - 1956", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Hammersmith Is Out - 1972", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Ivanhoe - 1953", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Jane Eyre - 1944", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Julia Misbehaves - 1948", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Lassie Come Home - 1943", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Life With Father - 1947", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Little Women - 1949", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Love Is Better Than Ever - 1952", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Malice in Wonderland - 1985", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie National Velvet - 1944", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Night Watch - 1973", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Poker Alice - 1987", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Quo Vadis - 1951", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Raintree County - 1957", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Reflections in a Golden Eye - 1967", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Rhapsody - 1954", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Scent of Mystery - 1960", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Secret Ceremony - 1968", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Suddenly, Last Summer - 1959", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie Sweet Bird of Youth - 1989", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie The Big Hangover - 1950", "elizabeth taylor"
"Born Feb 27, 1932, She starred in the movie The Blue Bird - 1976", "elizabeth taylor"
